	SPOKE	EHR
1262	DB00956	234054
1263	DB00956	24592
1264	DB00956	70449
1265	DB00956	253224
1266	DB00956	88588
1267	DB00956	11170
1268	DB00956	82191
1269	DB00956	76889
1270	DB00956	220206
1271	DB00956	70837
1272	DB00956	70832
1273	DB00956	17927
1274	DB00956	26544
1275	DB00956	34180
1276	DB00956	35278
1277	DB00956	33094
1278	DB00956	33091
1279	DB00956	11165
1280	DB00956	20846
1281	DB00956	39532
1282	DB00956	39534
1283	DB00956	231790
1284	DB00956	231792
1285	DB00956	28910
1286	DB00956	2692
1287	DB00956	205783
1288	DB00956	37470
1289	DB00956	254891
1290	DB00956	255198
1291	DB00956	220211
1292	DB00956	43214
1293	DB00956	174909
1294	DB00956	174907
1295	DB00956	174905
1296	DB00956	174901
1297	DB00956	242051
1298	DB00956	30615
1299	DB00956	17477
1300	DB00956	15333
1301	DB00956	76832
1302	DB00956	39448
1303	DB00956	39447
1304	DB00956	31637
1305	DB00956	229807
1306	DB00956	243257
1307	DB00956	243250
1308	DB00956	243251
1309	DB00956	243252
1310	DB00956	243253
1311	DB00956	243255
1312	DB00956	243256
1313	DB00956	88202
1314	DB00956	236294
1315	DB00956	246993
1316	DB00956	229692
1317	DB00956	31244
1318	DB00956	158897
1319	DB00956	158895
1320	DB00956	158893
1321	DB00956	158891
1322	DB00956	13667
1323	DB00956	36768
1324	DB00956	234324
1325	DB00956	77016
1326	DB00956	77017
1327	DB00956	31528
1328	DB00956	31529
1329	DB00956	231177
1330	DB00956	243289
1331	DB00956	243288
1332	DB00956	243283
1333	DB00956	243282
1334	DB00956	243281
1335	DB00956	243280
1336	DB00956	243287
1337	DB00956	243286
1338	DB00956	243285
1339	DB00956	243284
1340	DB00956	29058
1341	DB00956	77420
1342	DB00956	43589
1343	DB00956	30593
1344	DB00956	16638
1345	DB00956	88117
1346	DB00956	243128
1347	DB00956	243129
1348	DB00956	217139
1349	DB00956	227971
1350	DB00956	247027
1351	DB00956	247026
1352	DB00956	247025
1353	DB00956	247024
1354	DB00956	247023
